Class number	Class 1	Class 2	Class 3	Class 4	Class 3	Class 4	Class 5	Class 6	Class 7	Class 8	Class 9	Class 10	Class 9	Class 10	Class 11	Class 12	Class 13	Class 14	Class 15	Class 16	Class 19	Class 20	Class 21	Class 22	Class 23	Class 23	Class 24	Class 24	Class 25	Class 25	Class 26	Class 27	Class 27	Class 28	Class 29	Class 30	Class 31	Class 32	Class 33	Class 34	Class 35	Class 36	Class 37	Class 38	Class 39	Class 40	Class 41	Class 42	Class 43	Class 44	Class 45	Class 46	Class 47	Class 48	Class 49	Class 50	Class 51	Class 52	Class 53	Class 54	Class 55	Class 56	Class 57	Class 58
Subclass			Basic	Basic	Passive	Passive					Basic	Basic	Orthographic variant with schwa	Orthographic variant with affricate											Theme -a-	Theme -e-	Theme -a-	Theme -e-	Theme -a-	Theme -e-		Long form	Short form																															
Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Archaic	Archaic	Regular	Regular	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Defective	Defective	Regular	Regular	Archaic	Archaic	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Irregular	Defective	Defective	Defective	Defective	Defective	Defective	Defective	Suppletive	Suppletive	Irregular	Suppletive	Irregular	Irregular	Suppletive	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Suppletive	Irregular	Suppletive	Suppletive	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive
Initial segment	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	C	V	V	C	C	V	V	C	C	C	V	V	C	C	V	V	C	C	C	V	C	V	C	V	C	C	C	V	C	C	V	V	V	C	V	C	C	C	C	V	C
Regular category	E-Class	E-Class	I-Class	I-Class	Passive	Passive	A-Class	A-Class			Causative	Causative	Causative	Causative							Inchoative	Inchoative																																										
Example lemma	երգել	քաղել	ապրիլ	խօսիլ	ածիլուիլ	զզուիլ	աղալ	կարդալ	արտահեղուլ	թողուլ	աճեցնել	մօտեցնել	անցընել	դարձնել	ուսուցանել	ծանուցանել	անցնիլ	մեռնիլ	երկնչիլ	կպչիլ	ամչնալ	նիհարնալ	երդնուլ	զբօսնուլ	իջնալ	իջնել	գտնալ	գտնել	ելլալ	ելլել	դպչիլ	կարենալ	կրնամ	երեւիլ	ունիմ	գիտեմ	կամ	եմ	ըլլալ	գալ	լալ	տալ	արտաբերել	բերել	անդրադառնալ	դառնալ	առնել	բանալ	դնել	դպիլ	երթալ	զարնել	զիջիլ	ընդունիլ	ընել	ըսել	թքնել	իյնալ	խածնել	խաղալ	մնալ	նստիլ	ուտել	տանիլ
Example stem	երգ	քաղ	ապր	խօս	ածիլ	զզ	աղ	կարդ	արտահեղ	թող	աճե	մօտե	ան	դար	ուսուց	ծանուց	անց	մեռ	երկն	կպ	ամչ	նիհար	երդ	զբօս	իջ	իջ	գտ	գտ	ելլ, ել	ելլ, ել	դպ	կարե	կր	երեւ	ուն	գիտ	կ	ե	ըլլ, եղ	գ, եկ	լ	տ, տու	արտաբեր	բեր	անդրադառն, անդրադարձ	դառն, դարձ	առ	բան, բաց	դն, դր, դ	դպ	երթ, գ, գն	զարն, զարկ	զիջ	ընդուն	ըն, ըր	ըս	թք, թուք	իյն, ինկ	խած	խաղ	մն	նստ	ուտ, կեր	տան, տար
Affix	-ել	-ել	-իլ	-իլ	-ուիլ	-ուիլ	-ալ	-ալ	-ուլ	-ուլ	-ցնել	-ցնել	-ցընել	-ձնել	-անել	-անել	-նիլ	-նիլ	-չիլ	-չիլ	-նալ	-նալ	-նուլ	-նուլ	-նալ	-նել	-նալ	-նել	-ալ	-ել	-չիլ	-նալ	-նամ	-իլ	-իմ	-եմ	-ամ	-մ	-ալ	-ալ	-ալ	-ալ	-ել	-ել	-ալ	-ալ	-նել	-ալ	-ել	-իլ	-ալ	-ել	-իլ	-իլ	-ել	-ել	-նել	-ալ	-նել	-ալ	-ալ	-իլ	-ել	-իլ
evidential participle	երգեր	քաղեր	ապրեր	խօսեր	ածիլուեր	զզուեր	աղացեր	կարդացեր	արտահեղեր, արտահեղուցեր	թողեր, թողուցեր	աճեցուցեր	մօտեցուցեր	անցուցեր	դարձուցեր	ուսուցեր	ծանուցեր	անցեր	մեռեր			ամչցեր	նիհարցեր	երդուեր	զբօսուեր	իջեր	իջեր	գտեր	գտեր	ելեր	ելեր	դպեր		կրցեր						եղեր	եկեր	լացեր	տուեր	արտաբերեր	բերեր	անդրադարձեր	դարձեր	առեր	բացեր	դրեր	դպեր	գացեր	զարկեր	զիջեր	ընդուներ	ըրեր	ըսեր	թքեր	ինկեր	խածեր	խաղցեր	մնացեր	նստեր	կերեր	տարեր
future participle	երգելու	քաղելու	ապրելու	խօսելու	ածիլուելու	զզուելու	աղալու	կարդալու	արտահեղելու	թողելու	աճեցնելու	մօտեցնելու	անցընելու	դարձնելու	ուսուցանելու	ծանուցանելու	անցնելու	մեռնելու	երկնչելու	կպչելու	ամչնալու	նիհարնալու	երդնելու	զբօսնելու	իջնալու	իջնելու	գտնալու	գտնելու	ելլալու	ելլելու	դպչելու	կարենալու		երեւելու					ըլլալու	գալու	լալու	տալու	արտաբերելու	բերելու	անդրադառնալու	դառնալու	առնելու	բանալու	դնելու	դպելու	երթալու	զարնելու	զիջելու	ընդունելու	ընելու	ըսելու	թքնելու	իյնալու	խածնելու	խաղալու	մնալու	նստելու	ուտելու	տանելու
