Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
1	ագուցել	1		երգել	ագուց	Regular	V	E-Class	-ել		Transitive																																																										
2	ազատագրել	1		երգել	ազատագր	Regular	V	E-Class	-ել	To emancipate, to set free.	Transitive																																																										
3	ազատել	1		երգել	ազատ	Regular	V	E-Class	-ել	(a life) To save, to deliver.	Transitive																																																										
4	ազատիլ	3	Basic	ապրիլ	ազատ	Regular	V	I-Class	-իլ	To escape, to be saved.	Intransitive																																																										
5	ազգայնացնել	9	Basic	աճեցնել	ազգայնա	Regular	V	Causative	-ցնել		Transitive																																																										
6	ազդարարել	1		երգել	ազդարար	Regular	V	E-Class	-ել	To give notice, to inform, to warn.	Transitive																																																										
7	ազդել	1		երգել	ազդ	Regular	V	E-Class	-ել	To effect, to influence.	Transitive																																																										
8	ազնուացնել	9	Basic	աճեցնել	ազնուա	Regular	V	Causative	-ցնել	To ennoble, to improve, to ameliorate.	Transitive																																																										
9	ախորժիլ	3	Basic	ապրիլ	ախորժ	Regular	V	I-Class	-իլ	To relish, to be pleased with, to like, to love.	Intransitive																																																										
10	ածել	1		երգել	ած	Regular	V	E-Class	-ել	To bring, to fetch, to bring in, to bring over.	Transitive																																																										
11	ածիլել	1		երգել	ածիլ	Regular	V	E-Class	-ել	To shave.	Transitive																																																										
12	ածիլուիլ	3	Passive	ածիլուիլ	ածիլ	Regular	V	Passive	-ուիլ	To be shaved.	Intransitive																																																										
13	ածխանալ	19		ամչնալ	ածխա	Regular	V	Inchoative	-նալ	To be carbonized.	Intransitive																																																										
14	ակնածիլ	3	Basic	ապրիլ	ակնած	Regular	V	I-Class	-իլ	To respect one's self.	Intransitive																																																										
15	ակնարկել	1		երգել	ակնարկ	Regular	V	E-Class	-ել	To regard, to allude, to hint, to mark, to indicate.	Transitive																																																										
16	ակնկալել	1		երգել	ակնկալ	Regular	V	E-Class	-ել	To expect, to hope for, to be hopeful of.	Transitive																																																										
17	ահաբեկել	1		երգել	ահաբեկ	Regular	V	E-Class	-ել	To terrify. To dispirit. To intimidate.	Transitive																																																										
18	աղալ	5		աղալ	աղ	Regular	V	A-Class	-ալ	To grind.	Transitive																																																										
19	աղաղակել	1		երգել	աղաղակ	Regular	V	E-Class	-ել	To cry, to shout, to scream, to bluster.	Intransitive																																																										
20	աղանձել	1		երգել	աղանձ	Regular	V	E-Class	-ել	To brown, to fry, to grill, to roast, to toast.	Transitive																																																										
21	աղաչել	1		երգել	աղաչ	Regular	V	E-Class	-ել	To pray, to beseech, to request, to supplicate.	Transitive																																																										
22	աղարտել	1		երգել	աղարտ	Regular	V	E-Class	-ել	To denigrate, to disparage.	Transitive																																																										
23	աղաւաղել	1		երգել	աղաւաղ	Regular	V	E-Class	-ել	To corrupt, to disguise, to dishonour.	Transitive																																																										
24	աղել	1		երգել	աղ	Regular	V	E-Class	-ել	To salt.	Transitive																																																										
25	աղերսել	1		երգել	աղերս	Regular	V	E-Class	-ել	To pray, to ask, to beseech.	Transitive																																																										
26	աղճատել	1		երգել	աղճատ	Regular	V	E-Class	-ել	To torture, to molest, to destroy, to ruin.	Transitive																																																										
27	աղմկել	1		երգել	աղմկ	Regular	V	E-Class	-ել	To disturb, to trouble, to disquiet, to alarm.	Transitive																																																										
28	աղտոտել	1		երգել	աղտոտ	Regular	V	E-Class	-ել	To soil, to stain, to blot, to dirty.	Transitive																																																										
29	աղքատանալ	19		ամչնալ	աղքատա	Regular	V	Inchoative	-նալ	To become poor, to grow poor.	Intransitive																																																										
30	աղքատացնել	9	Basic	աճեցնել	աղքատա	Regular	V	Causative	-ցնել	To impoverish, to render poor.	Transitive																																																										
31	աղօթել	1		երգել	աղօթ	Regular	V	E-Class	-ել	To pray.	Transitive																																																										
