Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity
1	akut͡sel	1		akut͡s	erkel	Regular	V	E-Class	-el		Transitive
2	azadakrel	1		azadakr	erkel	Regular	V	E-Class	-el	To emancipate, to set free.	Transitive
3	azadel	1		azad	erkel	Regular	V	E-Class	-el	(a life) To save, to deliver.	Transitive
4	azadil	3	Basic	azad	abril	Regular	V	I-Class	-il	To escape, to be saved.	Intransitive
5	azkajnat͡snel	9	Basic	azkajna	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel		Transitive
6	aztararel	1		aztarar	erkel	Regular	V	E-Class	-el	To give notice, to inform, to warn.	Transitive
7	aztel	1		azt	erkel	Regular	V	E-Class	-el	To effect, to influence.	Transitive
8	aznvat͡snel	9	Basic	aznva	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To ennoble, to improve, to ameliorate.	Transitive
9	axorʒil	3	Basic	axorʒ	abril	Regular	V	I-Class	-il	To relish, to be pleased with, to like, to love.	Intransitive
10	ad͡zel	1		ad͡z	erkel	Regular	V	E-Class	-el	To bring, to fetch, to bring in, to bring over.	Transitive
11	ad͡zilel	1		ad͡zil	erkel	Regular	V	E-Class	-el	To shave.	Transitive
12	ad͡zilvil	3	Passive	ad͡zil	ad͡zilvil	Regular	V	Passive	-vil	To be shaved.	Intransitive
13	ad͡zxanal	19		ad͡zxa	amt͡ʃnal	Regular	V	Inchoative	-nal	To be carbonized.	Intransitive
14	agnad͡zil	3	Basic	agnad͡z	abril	Regular	V	I-Class	-il	To respect one's self.	Intransitive
15	agnargel	1		agnarg	erkel	Regular	V	E-Class	-el	To regard, to allude, to hint, to mark, to indicate.	Transitive
16	agngalel	1		agngal	erkel	Regular	V	E-Class	-el	To expect, to hope for, to be hopeful of.	Transitive
17	ahapegel	1		ahapeg	erkel	Regular	V	E-Class	-el	To terrify. To dispirit. To intimidate.	Transitive
18	aɣal	5		aɣ	aɣal	Regular	V	A-Class	-al	To grind.	Transitive
19	aɣaɣagel	1		aɣaɣag	erkel	Regular	V	E-Class	-el	To cry, to shout, to scream, to bluster.	Intransitive
20	aɣant͡sel	1		aɣant͡s	erkel	Regular	V	E-Class	-el	To brown, to fry, to grill, to roast, to toast.	Transitive
21	aɣat͡ʃel	1		aɣat͡ʃ	erkel	Regular	V	E-Class	-el	To pray, to beseech, to request, to supplicate.	Transitive
22	aɣardel	1		aɣard	erkel	Regular	V	E-Class	-el	To denigrate, to disparage.	Transitive
23	aɣawaɣel	1		aɣawaɣ	erkel	Regular	V	E-Class	-el	To corrupt, to disguise, to dishonour.	Transitive
24	aɣel	1		aɣ	erkel	Regular	V	E-Class	-el	To salt.	Transitive
25	aɣersel	1		aɣers	erkel	Regular	V	E-Class	-el	To pray, to ask, to beseech.	Transitive
26	aɣd͡ʒadel	1		aɣd͡ʒad	erkel	Regular	V	E-Class	-el	To torture, to molest, to destroy, to ruin.	Transitive
27	aɣmgel	1		aɣmg	erkel	Regular	V	E-Class	-el	To disturb, to trouble, to disquiet, to alarm.	Transitive
28	aɣdodel	1		aɣdod	erkel	Regular	V	E-Class	-el	To soil, to stain, to blot, to dirty.	Transitive
29	aɣkadanal	19		aɣkada	amt͡ʃnal	Regular	V	Inchoative	-nal	To become poor, to grow poor.	Intransitive
30	aɣkadat͡snel	9	Basic	aɣkada	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To impoverish, to render poor.	Transitive
31	aɣotel	1		aɣot	erkel	Regular	V	E-Class	-el	To pray.	Transitive
32	ad͡ʒabarel	1		ad͡ʒabar	erkel	Regular	V	E-Class	-el	To hasten, to hurry.	Intransitive
33	ad͡ʒet͡snel	9	Basic	ad͡ʒe	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To increase, to enlarge, to amplify.	Transitive
34	ad͡ʒil	3	Basic	ad͡ʒ	abril	Regular	V	I-Class	-il	To grow, to spring, to increase, to augment.	Intransitive
35	amparnal	19		ampar	amt͡ʃnal	Regular	V	Inchoative	-nal	To arise, to ascend, to mount.	Intransitive
36	ampasdanel	1		ampasdan	erkel	Regular	V	E-Class	-el	To accuse, to indict, to denounce, to impeach.	Transitive
37	amparel	1		ampar	erkel	Regular	V	E-Class	-el	To store, to amass.	Transitive
38	ampoɣt͡ʃat͡snel	9	Basic	ampoɣt͡ʃa	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To complete.	Transitive
39	amlanal	19		amla	amt͡ʃnal	Regular	V	Inchoative	-nal	To become sterile.	Intransitive
40	amusnanal	19		amusna	amt͡ʃnal	Regular	V	Inchoative	-nal	To marry, to espouse, to wed.	Intransitive
41	amusnat͡snel	9	Basic	amusna	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To marry, to espouse.	Transitive
42	amokel	1		amok	erkel	Regular	V	E-Class	-el	To mitigate, to modify, to soften, to temper, to calm.	Transitive
43	amt͡ʃnal	19		amt͡ʃ	amt͡ʃnal	Regular	V	Inchoative	-nal	To be ashamed.	Intransitive
44	amt͡ʃt͡snel	9	Basic	amt͡ʃ	ad͡ʒet͡snel	Regular	V	Causative	-t͡snel	To shame, to disgrace.	Transitive
45	ambel	1		amb	erkel	Regular	V	E-Class	-el	To grow cloudy, to be clouded.	Intransitive
46	ambodil	3	Basic	ambod	abril	Regular	V	I-Class	-il	To be clouded, to cloud.	Intransitive
