Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
1	ագուցել	1	երգել	ագուց	Regular	E-Class	V-initial	-ել		
2	ազատագրել	1	երգել	ազատագր	Regular	E-Class	V-initial	-ել		
3	ազատել	1	երգել	ազատ	Regular	E-Class	V-initial	-ել		
4	ազատիլ	3	ապրիլ	ազատ	Regular	I-Class	V-initial	-իլ		
5	ազգայնացնել	9	աճեցնել	ազգայնա	Regular	Causative	V-initial	-ցնել		
6	ազդարարել	1	երգել	ազդարար	Regular	E-Class	V-initial	-ել		
7	ազդել	1	երգել	ազդ	Regular	E-Class	V-initial	-ել		
8	ազնուացնել	9	աճեցնել	ազնուա	Regular	Causative	V-initial	-ցնել		
9	ախորժիլ	3	ապրիլ	ախորժ	Regular	I-Class	V-initial	-իլ		
10	ածել	1	երգել	ած	Regular	E-Class	V-initial	-ել		
11	ածիլել	1	երգել	ածիլ	Regular	E-Class	V-initial	-ել		
12	ածիլուիլ	3	ապրիլ	ածիլ	Regular	Passive	V-initial	-իլ		
13	ածխանալ	19	ամչնալ	ածխա	Regular	Inchoative	V-initial	-նալ		
14	ակնածիլ	3	ապրիլ	ակնած	Regular	I-Class	V-initial	-իլ		
15	ակնարկել	1	երգել	ակնարկ	Regular	E-Class	V-initial	-ել		
16	ակնկալել	1	երգել	ակնկալ	Regular	E-Class	V-initial	-ել		
17	ահաբեկել	1	երգել	ահաբեկ	Regular	E-Class	V-initial	-ել		
18	աղալ	5	աղալ	աղ	Regular	A-Class	V-initial	-ալ		
19	աղաղակել	1	երգել	աղաղակ	Regular	E-Class	V-initial	-ել		
20	աղանձել	1	երգել	աղանձ	Regular	E-Class	V-initial	-ել		
21	աղաչել	1	երգել	աղաչ	Regular	E-Class	V-initial	-ել		
22	աղարտել	1	երգել	աղարտ	Regular	E-Class	V-initial	-ել		
23	աղաւաղել	1	երգել	աղաւաղ	Regular	E-Class	V-initial	-ել		
24	աղել	1	երգել	աղ	Regular	E-Class	V-initial	-ել		
25	աղերսել	1	երգել	աղերս	Regular	E-Class	V-initial	-ել		
26	աղճատել	1	երգել	աղճատ	Regular	E-Class	V-initial	-ել		
27	աղմկել	1	երգել	աղմկ	Regular	E-Class	V-initial	-ել		
28	աղտոտել	1	երգել	աղտոտ	Regular	E-Class	V-initial	-ել		
29	աղքատանալ	19	ամչնալ	աղքատ	Regular	Inchoative	V-initial	-նալ		
30	աղքատացնել	9	աճեցնել	աղքատա	Regular	Causative	V-initial	-ցնել		
31	աղօթել	1	երգել	աղօթ	Regular	E-Class	V-initial	-ել		
32	աճապարել	1	երգել	աճապար	Regular	E-Class	V-initial	-ել		
33	աճեցնել	9	աճեցնել	աճե	Regular	Causative	V-initial	-ցնել		
34	աճիլ	3	ապրիլ	աճ	Regular	I-Class	V-initial	-իլ		
35	ամբառնալ	19	ամչնալ	ամբառ	Regular	Inchoative	V-initial	-նալ		
36	ամբաստանել	1	երգել	ամբաստան	Regular	E-Class	V-initial	-ել		
37	ամբարել	1	երգել	ամբար	Regular	E-Class	V-initial	-ել		
38	ամբողջացնել	9	աճեցնել	ամբողջա	Regular	Causative	V-initial	-ցնել		
39	ամլանալ	19	ամչնալ	ամլ	Regular	Inchoative	V-initial	-նալ		
40	ամուսնանալ	19	ամչնալ	ամուսն	Regular	Inchoative	V-initial	-նալ		
41	ամուսնացնել	9	աճեցնել	ամուսնա	Regular	Causative	V-initial	-ցնել		
42	ամոքել	1	երգել	ամոք	Regular	E-Class	V-initial	-ել		
43	ամչնալ	19	ամչնալ	ամչ	Regular	Inchoative	V-initial	-նալ		
44	ամչցնել	9	աճեցնել	ամչ	Regular	Causative	V-initial	-ցնել		
45	ամպել	1	երգել	ամպ	Regular	E-Class	V-initial	-ել		
46	ամպոտիլ	3	ապրիլ	ամպոտ	Regular	I-Class	V-initial	-իլ		
47	ամրանալ	19	ամչնալ	ամր	Regular	Inchoative	V-initial	-նալ		
48	ամրապնդել	1	երգել	ամրապնդ	Regular	E-Class	V-initial	-ել		
49	ամփոփել	1	երգել	ամփոփ	Regular	E-Class	V-initial	-ել		
50	ամփոփուիլ	3	ապրիլ	ամփոփ	Regular	Passive	V-initial	-իլ		
51	այլայլիլ	3	ապրիլ	այլայլ	Regular	I-Class	V-initial	-իլ		
52	այլանդակել	1	երգել	այլանդակ	Regular	E-Class	V-initial	-ել		
53	այլասերիլ	3	ապրիլ	այլասեր	Regular	I-Class	V-initial	-իլ		
54	այպանել	1	երգել	այպան	Regular	E-Class	V-initial	-ել		
55	այրել	1	երգել	այր	Regular	E-Class	V-initial	-ել		
56	այրիլ	3	ապրիլ	այր	Regular	I-Class	V-initial	-իլ		
57	այցելել	1	երգել	այցել	Regular	E-Class	V-initial	-ել		
58	անարգել	1	երգել	անարգ	Regular	E-Class	V-initial	-ել		
59	անգոսնել	1	երգել	անգոսն	Regular	E-Class	V-initial	-ել		
60	անդամակցիլ	3	ապրիլ	անդամակց	Regular	I-Class	V-initial	-իլ		
61	անդամատել	1	երգել	անդամատ	Regular	E-Class	V-initial	-ել		
62	անդրադառնալ	39	անդրադառնալ	անդրադառն	Irregular		V-initial	Lexeme դառնալ		
63	անէանալ	19	ամչնալ	անէ	Regular	Inchoative	V-initial	-նալ		
64	անթեղել	1	երգել	անթեղ	Regular	E-Class	V-initial	-ել		
65	անիծել	1	երգել	անիծ	Regular	E-Class	V-initial	-ել		
66	անհետանալ	19	ամչնալ	անհետ	Regular	Inchoative	V-initial	-նալ		
67	անհետացնել	9	աճեցնել	անհետա	Regular	Causative	V-initial	-ցնել		
68	անձնաւորել	1	երգել	անձնաւոր	Regular	E-Class	V-initial	-ել		
